latitude,longitude,size,label
46.12077621648873,4.314124152669039,843,
45.74508646648988,4.818014840605627,27905,Studio
45.75421524938918,4.827108722803955,1719,Epita 1
45.751541095035456,4.820856650354609,141,
45.7466140887574,4.823594136982249,338,Bus station
45.753294266000005,4.818260881,100,
45.74101591803279,4.8178116754098355,61,Mall
45.7470898967742,4.8249687129032255,31,
45.75442268974359,4.830342166666666,39,
45.78769338716518,3.0941189056919645,896,Family
45.754820550513195,4.858882092155425,1364,Epita 2
48.815221762499995,2.3632170458333333,48,Epita Paris
